data,forn,area,eta,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2021-01-02,Pfizer/BioNTech,MAR,60-69,29.0,35.0,64.0,0.0,0.0,0.0,0.0,0.0,ITI,ITI3,11.0,Marche
2021-01-02,Pfizer/BioNTech,PAB,20-29,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2021-01-02,Pfizer/BioNTech,PAB,30-39,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2021-01-02,Pfizer/BioNTech,PAB,40-49,15.0,18.0,33.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2021-01-02,Pfizer/BioNTech,PAB,50-59,12.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2021-01-02,Pfizer/BioNTech,PAB,60-69,13.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2021-01-02,Pfizer/BioNTech,PAB,70-79,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH1,4.0,Provincia Autonoma Bolzano / Bozen
2021-01-02,Pfizer/BioNTech,PAT,20-29,16.0,30.0,46.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-02,Pfizer/BioNTech,PAT,30-39,28.0,52.0,80.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-02,Pfizer/BioNTech,PAT,40-49,21.0,84.0,105.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-02,Pfizer/BioNTech,PAT,50-59,24.0,89.0,113.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-02,Pfizer/BioNTech,PAT,60-69,12.0,32.0,44.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-02,Pfizer/BioNTech,PAT,70-79,20.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-02,Pfizer/BioNTech,PAT,80-89,18.0,30.0,48.0,0.0,0.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-02,Pfizer/BioNTech,PAT,90+,13.0,52.0,64.0,0.0,1.0,0.0,0.0,0.0,ITH,ITH2,4.0,Provincia Autonoma Trento
2021-01-02,Pfizer/BioNTech,PIE,12-19,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ITC,ITC1,1.0,Piemonte
